survey_year	n_nh4	type
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1996	       NA	Measured
1997	0.2700000	Measured
1997	0.1600000	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	       NA	Measured
1997	0.5100000	Measured
1997	0.1800000	Measured
1997	0.4700000	Measured
1997	       NA	Measured
1997	0.2900000	Measured
1997	0.1700000	Measured
1998	0.1900000	Measured
1998	0.1800000	Measured
1998	0.2000000	Measured
1998	       NA	Measured
1998	0.1600000	Measured
1998	0.1900000	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	0.2100000	Measured
1998	       NA	Measured
1998	       NA	Measured
1998	       NA	Measured
1999	       NA	Measured
1999	0.4000000	Measured
1999	       NA	Measured
1999	0.2000000	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	       NA	Measured
1999	0.1700000	Measured
1999	       NA	Measured
1999	0.6600000	Measured
1999	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	0.1700000	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2000	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	0.1800000	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2001	       NA	Measured
2002	0.0340000	Measured
2002	0.1340000	Measured
2002	0.0840000	Measured
2002	0.0590000	Measured
2002	0.2690000	Measured
2002	0.4140000	Measured
2002	0.0840000	Measured
2002	0.1160000	Measured
2002	0.1090000	Measured
2002	0.0340000	Measured
2002	0.1340000	Measured
2002	0.2690000	Measured
2003	       NA	Measured
2003	0.2570000	Measured
2003	0.1090000	Measured
2003	1.6530000	Measured
2003	       NA	Measured
2003	0.1090000	Measured
2003	0.0670000	Measured
2003	0.0340000	Measured
2003	0.1340000	Measured
2003	0.1830000	Measured
2003	0.0340000	Measured
2003	       NA	Measured
2004	0.1340000	Measured
2004	0.1620000	Measured
2004	0.3450000	Measured
2004	0.1950000	Measured
2004	0.3640000	Measured
2004	0.1340000	Measured
2004	0.1340000	Measured
2004	0.1340000	Measured
2004	0.1340000	Measured
2004	0.4270000	Measured
2004	0.1930000	Measured
2004	0.1340000	Measured
2005	0.4990000	Measured
2005	0.1210000	Measured
2005	0.1340000	Measured
2005	0.1600000	Measured
2005	0.1640000	Measured
2005	0.1690000	Measured
2005	0.1700000	Measured
2005	0.8820000	Measured
2005	0.7290000	Measured
2005	0.3850000	Measured
2005	0.3500000	Measured
2005	0.1510000	Measured
2006	0.1170000	Measured
2006	0.5670000	Measured
2006	0.5340000	Measured
2006	0.2640000	Measured
2006	0.1180000	Measured
2006	0.1430000	Measured
2006	0.4740000	Measured
2006	0.1490000	Measured
2006	0.1050000	Measured
2006	       NA	Measured
2006	0.1460000	Measured
2006	0.6740000	Measured
2007	0.0640000	Measured
2007	0.3430000	Measured
2007	0.0560000	Measured
2007	0.1550000	Measured
2007	0.3230000	Measured
2007	0.1130000	Measured
2007	0.2060000	Measured
2007	0.1490000	Measured
2007	0.1480000	Measured
2007	0.1320000	Measured
2007	0.1370000	Measured
2007	0.0750000	Measured
2007	0.1020000	Measured
2008	0.1540000	Measured
2008	0.0650000	Measured
2008	0.0720000	Measured
2008	0.0710000	Measured
2008	0.1220000	Measured
2008	0.1850000	Measured
2008	0.3240000	Measured
2008	0.5170000	Measured
2008	0.1960000	Measured
2008	0.1570000	Measured
2008	0.1280000	Measured
2008	0.1640000	Measured
2008	0.1000000	Measured
2009	0.1720000	Measured
2009	0.1420000	Measured
2009	0.0460000	Measured
2009	0.0700000	Measured
2009	0.1460000	Measured
2009	0.1050000	Measured
2009	0.0600000	Measured
2009	0.1290000	Measured
2009	0.1930000	Measured
2009	0.0830000	Measured
2009	0.0900000	Measured
2009	0.0650000	Measured
2009	0.0500000	Measured
2010	0.0370000	Measured
2010	0.0660000	Measured
2010	0.0820000	Measured
2010	0.0370000	Measured
2010	0.0370000	Measured
2010	0.0430000	Measured
2010	0.4530000	Measured
2010	0.0300000	Measured
2010	0.0890000	Measured
2010	0.0480000	Measured
2010	0.0340000	Measured
2011	0.1020000	Measured
2011	0.0380000	Measured
2011	0.0400000	Measured
2011	0.0480000	Measured
2011	0.0320000	Measured
2011	0.0760000	Measured
2011	0.1050000	Measured
2011	0.1110000	Measured
2011	0.1480000	Measured
2011	0.1770000	Measured
2011	0.1670000	Measured
2011	0.1430000	Measured
2011	0.0980000	Measured
2012	0.0250000	Measured
2012	0.0580000	Measured
2012	0.1360000	Measured
2012	0.2390000	Measured
2012	0.4000000	Measured
2012	0.3260000	Measured
2012	0.3030000	Measured
2012	0.0960000	Measured
2012	0.0580000	Measured
2012	0.1600000	Measured
2012	0.0480000	Measured
2012	0.0320000	Measured
2013	0.0340000	Measured
2013	0.0690000	Measured
2013	0.0400000	Measured
2013	0.0220000	Measured
2013	0.0500000	Measured
2013	0.1200000	Measured
2013	0.1320000	Measured
2013	0.3890000	Measured
2013	0.0590000	Measured
2013	0.0750000	Measured
2013	0.0520000	Measured
2014	0.0670000	Measured
2014	0.0400000	Measured
2014	0.0200000	Measured
2014	0.0270000	Measured
2014	0.0320000	Measured
2014	0.0910000	Measured
2014	0.0270000	Measured
2014	0.0710000	Measured
2014	0.0310000	Measured
2014	0.0560000	Measured
2014	0.0420000	Measured
2014	0.0180000	Measured
2014	0.1250000	Measured
2015	0.0860000	Measured
2015	0.2210000	Measured
2015	0.1360000	Measured
2015	0.1390000	Measured
2015	0.2830000	Measured
2015	0.4040000	Measured
2015	0.3660000	Measured
2015	0.4800000	Measured
2015	0.8400000	Measured
2015	0.5940000	Measured
2015	0.0750000	Measured
2015	0.0360000	Measured
2016	0.0587500	Measured
2016	0.0362500	Measured
2016	0.0417500	Measured
2016	0.2322500	Measured
2016	0.1427500	Measured
2016	0.1345000	Measured
2016	0.1845000	Measured
2016	0.1536667	Measured
2016	0.1875000	Measured
2016	0.0485000	Measured
2017	0.0370000	Measured
2017	0.0437500	Measured
2017	0.0282500	Measured
2017	0.0605000	Measured
2017	0.1722500	Measured
2017	0.0995000	Measured
2017	0.1210000	Measured
2017	0.0710000	Measured
2017	0.0404997	Measured
2017	0.0132500	Measured
2017	0.0443967	Measured
2017	0.0137500	Measured
2017	0.0257500	Measured
2018	0.0483083	Measured
2018	0.0522345	Measured
2018	0.0140000	Measured
2018	0.0640000	Measured
2018	0.4890000	Measured
2018	0.0430000	Measured
2018	0.7590000	Measured
2018	0.0270000	Measured
2019	0.0370000	Measured
2019	0.0300000	Measured
2019	0.0460000	Measured
2019	0.0561755	Measured
2019	0.0601312	Measured
2019	0.0240000	Measured
2019	0.0270000	Measured
2019	0.0320000	Measured
2019	0.0370000	Measured
2019	0.0200000	Measured
2020	0.0641017	Measured
2020	0.0680871	Measured
2020	0.0720875	Measured
2020	0.0761028	Measured
2020	0.0801331	Measured
2020	0.0180000	Measured
2020	0.0841786	Measured
2020	0.0882392	Measured
2020	0.0923150	Measured
2020	0.0200000	Measured
2020	0.0170000	Measured
2021	0.0150000	Measured
2021	0.0964060	Measured
2021	0.1005124	Measured
2021	0.0100000	Measured
2021	0.1046342	Measured
2021	0.1087714	Measured
2021	0.1800000	Measured
2021	0.0110000	Measured
2021	0.7280000	Measured
2021	0.0110000	Measured
2021	0.0120000	Measured
2022	0.1129241	Measured
2022	0.1170923	Measured
2022	0.1212762	Measured
2022	0.1254757	Measured
2022	0.1296910	Measured
2022	0.0700000	Measured
2022	0.0120000	Measured
2022	0.0160000	Measured
2023	0.1339221	Measured
2023	0.1381690	Measured
2023	0.0160000	Measured
2023	0.0180000	Measured
2023	0.0210000	Measured
2023	0.1424318	Measured
2023	0.1467105	Measured
2023	0.0110000	Measured
2023	0.0170000	Measured
