survey_year	n_no3	type
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	        NA	Measured
1996	 0.3000000	Measured
1996	        NA	Measured
1996	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1997	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1998	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
1999	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2000	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2001	        NA	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.2460000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.0610000	Measured
2002	 0.2000000	Measured
2002	 0.0610000	Measured
2003	 0.0610000	Measured
2003	 0.1540000	Measured
2003	        NA	Measured
2003	        NA	Measured
2003	 0.0610000	Measured
2003	 0.1540000	Measured
2003	 0.0610000	Measured
2003	 0.1840000	Measured
2003	 0.0610000	Measured
2003	 0.1070000	Measured
2003	 0.0610000	Measured
2003	 0.0610000	Measured
2004	 0.1540000	Measured
2004	 0.1070000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	 0.0610000	Measured
2004	        NA	Measured
2004	 0.1540000	Measured
2005	 0.1230000	Measured
2005	 0.4250000	Measured
2005	 0.2000000	Measured
2005	 0.0610000	Measured
2005	 0.1070000	Measured
2005	        NA	Measured
2005	 0.0610000	Measured
2005	 0.0610000	Measured
2005	 0.0610000	Measured
2005	 0.0680000	Measured
2005	 0.0610000	Measured
2005	 0.4370000	Measured
2006	 0.0670000	Measured
2006	 0.1870000	Measured
2006	 0.4940000	Measured
2006	 0.1190000	Measured
2006	 0.1090000	Measured
2006	 1.2830000	Measured
2006	 0.0660000	Measured
2006	 0.1620000	Measured
2006	        NA	Measured
2006	        NA	Measured
2006	        NA	Measured
2006	 0.1500000	Measured
2007	 0.0760000	Measured
2007	 0.0850000	Measured
2007	 0.1970000	Measured
2007	 0.3000000	Measured
2007	 0.7080000	Measured
2007	 0.0690000	Measured
2007	 0.0310000	Measured
2007	 0.0660000	Measured
2007	 0.0190000	Measured
2007	 0.0440000	Measured
2007	 0.0430000	Measured
2007	 0.0420000	Measured
2007	 0.3120000	Measured
2008	 0.6100000	Measured
2008	 1.1520000	Measured
2008	 0.8520000	Measured
2008	 1.1930000	Measured
2008	 1.5980000	Measured
2008	 1.4400000	Measured
2008	 0.1140000	Measured
2008	        NA	Measured
2008	        NA	Measured
2008	 0.4080000	Measured
2008	 0.0080000	Measured
2008	        NA	Measured
2008	 0.0430000	Measured
2008	        NA	Measured
2008	 0.0750000	Measured
2008	        NA	Measured
2008	 0.0640000	Measured
2008	        NA	Measured
2009	 0.1010000	Measured
2009	 0.0670000	Measured
2009	 0.1380000	Measured
2009	 0.4540000	Measured
2009	 0.0650000	Measured
2009	 0.0080000	Measured
2009	 0.0310000	Measured
2009	 0.0420000	Measured
2009	 0.0850000	Measured
2009	 0.0590000	Measured
2010	        NA	Measured
2010	 0.2450000	Measured
2010	 2.0370000	Measured
2010	        NA	Measured
2010	 1.1560000	Measured
2010	 0.0370000	Measured
2010	 0.0770000	Measured
2010	        NA	Measured
2010	 0.0570000	Measured
2010	 0.0250000	Measured
2010	        NA	Measured
2010	 0.0180000	Measured
2010	 0.0180000	Measured
2010	 0.0090000	Measured
2011	 0.0090000	Measured
2011	 0.3350000	Measured
2011	        NA	Measured
2011	 0.1520000	Measured
2011	        NA	Measured
2011	 0.0180000	Measured
2011	 0.0180000	Measured
2011	 0.0180000	Measured
2011	 0.0180000	Measured
2011	 0.0180000	Measured
2012	 0.0650000	Measured
2012	 0.0960000	Measured
2012	 0.0180000	Measured
2012	 0.4450000	Measured
2012	 0.0280000	Measured
2012	 0.0220000	Measured
2013	 0.0050000	Measured
2013	 0.1110000	Measured
2013	 0.5510000	Measured
2013	 0.6180000	Measured
2013	 0.5200000	Measured
2013	 0.4680000	Measured
2013	 0.0100000	Measured
2013	 0.0100000	Measured
2013	 0.0100000	Measured
2013	 0.0100000	Measured
2013	 0.0100000	Measured
2014	 0.0100000	Measured
2014	 0.2560000	Measured
2014	 0.7270000	Measured
2014	 1.0490000	Measured
2014	 0.5190000	Measured
2014	 0.2890000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2014	 0.0200000	Measured
2015	 0.1160000	Measured
2015	 0.1990000	Measured
2015	 0.7090000	Measured
2015	 1.1920000	Measured
2015	 1.8000000	Measured
2015	 2.1480000	Measured
2015	 0.0390000	Measured
2015	 0.2830000	Measured
2015	 0.0020000	Measured
2016	 0.0020000	Measured
2016	 0.3695000	Measured
2016	 1.0675000	Measured
2016	 2.8692500	Measured
2016	 2.3720000	Measured
2016	 0.7410000	Measured
2016	 0.4270000	Measured
2016	 0.8010000	Measured
2017	 3.3690000	Measured
2017	 2.7440000	Measured
2017	 0.5615000	Measured
2017	 0.1840000	Measured
2017	 0.4075000	Measured
2017	 0.0270000	Measured
2017	 0.2210000	Measured
2017	 0.1495000	Measured
2017	 1.6965000	Measured
2018	 2.0800000	Measured
2018	 0.9820000	Measured
2018	 0.3730000	Measured
2018	 1.7980000	Measured
2018	 3.0020000	Measured
2018	 0.9950000	Measured
2018	 0.0330000	Measured
2019	 7.8850000	Measured
2019	 5.3850000	Measured
2019	 3.8250000	Measured
2019	 4.7260000	Measured
2019	 3.2880000	Measured
2019	 4.9890000	Measured
2019	 2.4250000	Measured
2019	 2.2570000	Measured
2019	 6.6310000	Measured
2019	 4.0940000	Measured
2020	 2.2260000	Measured
2020	 2.4380000	Measured
2020	 2.4410000	Measured
2020	 1.4190000	Measured
2020	 0.7750000	Measured
2020	 0.3260000	Measured
2020	 0.1230000	Measured
2021	 5.5030000	Measured
2021	 6.7110000	Measured
2021	 5.6270000	Measured
2021	 3.1030000	Measured
2021	 2.2780000	Measured
2021	 2.4890000	Measured
2021	 2.6940000	Measured
2021	 2.4440000	Measured
2021	10.3380000	Measured
2021	 9.6330000	Measured
2021	16.7940000	Measured
2021	25.3400000	Measured
2021	22.6900000	Measured
2022	16.5450000	Measured
2022	 8.2230000	Measured
2022	 5.5270000	Measured
2022	 4.2050000	Measured
2022	11.1090000	Measured
2022	17.8890000	Measured
2022	23.9670000	Measured
2022	29.7450000	Measured
2022	31.0400000	Measured
2022	27.9450000	Measured
2022	27.8350000	Measured
2022	27.9100000	Measured
2023	23.0190000	Measured
2023	 5.0100000	Measured
2023	 6.5940000	Measured
2023	 7.0630000	Measured
2023	 6.1530000	Measured
2023	 8.9700000	Measured
2023	14.4690000	Measured
2023	20.3790000	Measured
2023	21.0240000	Measured
2023	17.5440000	Measured
